device_name,mac,rssi,location,time_utc,proximity
Unknown,02:AF:EB:0E:E4:E1,N/A,ECE_Lab_Test,2025-10-28T16:47:02.717865Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:47:02.718867Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:47:17.779739Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:47:32.829240Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:47:32.830238Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:47:47.881358Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:48:02.942720Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:48:17.993183Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:48:17.993759Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:48:33.035645Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:48:48.099385Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:49:03.150589Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:49:18.194291Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:49:33.257213Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:49:48.321772Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:50:03.365649Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:50:18.423163Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:50:33.452809Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:50:48.499398Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:51:03.544148Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:51:18.589364Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:51:18.589364Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:51:33.647987Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:51:48.694532Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:52:03.757055Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:52:03.758055Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:52:18.813560Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:52:33.869299Z,Unknown
Unknown,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:52:33.870296Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:52:48.936649Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:53:04.002854Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:53:19.067911Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:53:34.113032Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:53:49.187128Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:54:04.245513Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:54:19.286459Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:54:34.322486Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:54:49.359963Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:55:04.407781Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:55:19.473366Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:55:34.523466Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:55:49.572468Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:56:04.627321Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:56:04.628326Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:56:19.693398Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T16:56:19.694398Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:56:34.733204Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:56:49.790861Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:57:04.846781Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:57:19.899725Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:57:34.954340Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:57:50.022025Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:58:05.065589Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:58:20.114113Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:58:35.166829Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:58:50.212008Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:59:05.256661Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:59:20.438634Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:59:36.009449Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T16:59:51.088726Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T17:00:06.137985Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T17:00:06.242452Z,Unknown
Unknown,37:CC:83:59:99:EA,N/A,ECE_Lab_Test,2025-10-28T17:00:21.343206Z,Unknown
